"CCAA.Codigo.ISO","Fecha","Casos","Hospitalizados","UCI","Fallecidos","Recuperados","X"
"PV",2020-03-15,630,262,29,23,5,NA
"RI",2020-03-15,312,64,13,4,2,NA
"AN",2020-03-16,683,229,13,11,0,NA
"AR",2020-03-16,207,74,9,12,0,NA
"AS",2020-03-16,193,34,5,1,3,NA
"IB",2020-03-16,92,26,4,1,1,NA
"CN",2020-03-16,148,56,13,2,8,NA
"CB",2020-03-16,58,18,2,0,10,NA
"CM",2020-03-16,567,207,23,17,12,NA
"CL",2020-03-16,431,95,24,12,5,NA
"CT",2020-03-16,1394,0,33,18,0,NA
"CE",2020-03-16,1,0,0,0,0,NA
"VC",2020-03-16,541,135,27,13,12,NA
"EX",2020-03-16,153,18,2,3,5,NA
"GA",2020-03-16,292,49,9,3,7,NA
"MD",2020-03-16,4871,3710,340,355,951,NA
"ME",2020-03-16,17,4,0,0,0,NA
"MC",2020-03-16,97,18,3,0,1,NA
"NC",2020-03-16,313,72,10,2,0,NA
"PV",2020-03-16,765,309,33,36,11,NA
"RI",2020-03-16,355,82,13,5,2,NA
"AN",2020-03-17,859,319,21,19,38,NA
"AR",2020-03-17,226,81,9,13,0,NA
"AS",2020-03-17,242,45,5,1,4,NA
"IB",2020-03-17,112,29,4,1,4,NA
"CN",2020-03-17,181,73,17,3,8,NA
"CB",2020-03-17,68,25,3,1,10,NA
"CM",2020-03-17,675,277,29,28,15,NA
"CL",2020-03-17,668,219,43,22,5,NA
"CT",2020-03-17,1866,0,33,41,0,NA
"CE",2020-03-17,1,0,0,0,0,NA
"VC",2020-03-17,726,252,40,22,16,NA
"EX",2020-03-17,194,27,3,6,6,NA
"GA",2020-03-17,341,63,12,3,7,NA
"MD",2020-03-17,5637,3778,491,390,951,NA
"ME",2020-03-17,20,4,0,0,0,NA
"MC",2020-03-17,122,22,4,0,1,NA
"NC",2020-03-17,386,93,10,3,0,NA
"PV",2020-03-17,973,353,37,40,14,NA
"RI",2020-03-17,419,99,13,5,2,NA
"AN",2020-03-18,1008,384,25,23,33,NA
"AR",2020-03-18,281,101,14,15,0,NA
"AS",2020-03-18,292,61,6,1,4,NA
"IB",2020-03-18,169,31,7,2,6,NA
"CN",2020-03-18,220,82,23,3,9,NA
"CB",2020-03-18,83,40,4,1,10,NA
"CM",2020-03-18,801,313,37,42,27,NA
"CL",2020-03-18,868,281,54,29,27,NA
"CT",2020-03-18,2702,0,33,55,0,NA
"CE",2020-03-18,1,0,0,0,0,NA
"VC",2020-03-18,921,274,52,24,19,NA
"EX",2020-03-18,241,36,3,8,6,NA
"GA",2020-03-18,453,100,15,4,4,NA
"MD",2020-03-18,6777,5168,590,498,941,NA
"ME",2020-03-18,23,4,0,0,0,NA
"MC",2020-03-18,167,36,6,0,1,NA
"NC",2020-03-18,482,132,11,4,0,NA
"PV",2020-03-18,1190,455,44,53,18,NA
"RI",2020-03-18,468,121,15,5,2,NA
"AN",2020-03-19,1287,501,38,30,36,NA
"AR",2020-03-19,360,127,28,17,0,NA
"AS",2020-03-19,344,87,7,2,12,NA
"IB",2020-03-19,203,48,10,2,10,NA
"CN",2020-03-19,287,115,25,4,9,NA
"CB",2020-03-19,144,61,7,1,10,NA
"CM",2020-03-19,1044,313,37,42,27,NA
"CL",2020-03-19,1147,370,69,43,37,NA
"CT",2020-03-19,3270,1002,33,82,150,NA
"CE",2020-03-19,5,0,0,0,0,NA
"VC",2020-03-19,1105,378,71,33,20,NA
"EX",2020-03-19,297,44,4,10,7,NA
"GA",2020-03-19,578,138,19,5,5,NA
"MD",2020-03-19,7165,6338,678,628,1186,NA
"ME",2020-03-19,24,5,1,0,0,NA
"MC",2020-03-19,204,47,11,0,1,NA
"NC",2020-03-19,554,172,19,5,1,NA
"PV",2020-03-19,1465,550,53,71,21,NA
"RI",2020-03-19,497,122,15,7,13,NA
"AN",2020-03-20,1515,605,53,40,36,NA
"AR",2020-03-20,424,192,33,22,0,NA
"AS",2020-03-20,486,133,12,5,16,NA
"IB",2020-03-20,246,60,14,4,11,NA
"CN",2020-03-20,348,139,29,7,7,NA
"CB",2020-03-20,215,92,9,2,11,NA
"CM",2020-03-20,1423,635,65,84,38,NA
"CL",2020-03-20,1466,575,85,55,54,NA
"CT",2020-03-20,4203,1681,298,122,150,NA
"CE",2020-03-20,5,0,0,0,0,NA
"VC",2020-03-20,1363,476,84,50,25,NA
"EX",2020-03-20,354,65,6,12,8,NA
"GA",2020-03-20,739,168,29,9,6,NA
"MD",2020-03-20,8921,7388,767,804,1542,NA
"ME",2020-03-20,25,8,1,0,0,NA
"MC",2020-03-20,240,61,14,1,1,NA
"NC",2020-03-20,664,222,25,9,1,NA
"PV",2020-03-20,1725,654,71,85,165,NA
"RI",2020-03-20,564,128,17,15,18,NA
"AN",2020-03-21,1725,724,55,47,38,NA
"AR",2020-03-21,532,241,45,24,3,NA
"AS",2020-03-21,545,171,15,8,20,NA
"IB",2020-03-21,331,79,14,4,17,NA
"CN",2020-03-21,414,150,32,9,7,NA
"CB",2020-03-21,282,116,9,5,11,NA
"CM",2020-03-21,1819,838,76,112,48,NA
"CL",2020-03-21,1744,709,106,74,89,NA
"CT",2020-03-21,4704,1681,298,191,150,NA
"CE",2020-03-21,5,0,0,0,0,NA
"VC",2020-03-21,1604,590,113,69,30,NA
"EX",2020-03-21,384,87,8,14,8,NA
"GA",2020-03-21,915,227,35,12,16,NA
"MD",2020-03-21,9702,8441,834,1021,1899,NA
"ME",2020-03-21,25,12,1,0,0,NA
"MC",2020-03-21,296,78,16,1,1,NA
"NC",2020-03-21,794,288,30,14,4,NA
"PV",2020-03-21,2097,988,81,97,216,NA
"RI",2020-03-21,654,134,17,18,18,NA
"AN",2020-03-22,1961,865,77,58,50,NA
"AR",2020-03-22,638,298,52,32,30,NA
"AS",2020-03-22,594,194,22,12,21,NA
"IB",2020-03-22,400,87,27,10,18,NA
"CN",2020-03-22,481,172,32,11,7,NA
"CB",2020-03-22,347,157,14,6,11,NA
"CM",2020-03-22,2078,1547,142,145,51,NA
"CL",2020-03-22,2055,860,120,102,117,NA
"CT",2020-03-22,5925,1681,551,245,644,NA
"CE",2020-03-22,6,0,0,0,0,NA
"VC",2020-03-22,1901,702,138,94,36,NA
"EX",2020-03-22,493,131,13,18,6,NA
"GA",2020-03-22,1208,270,47,18,19,NA
"MD",2020-03-22,10575,9561,942,1263,2063,NA
"ME",2020-03-22,28,12,1,0,0,NA
"MC",2020-03-22,345,80,23,2,1,NA
"NC",2020-03-22,886,339,40,24,7,NA
"PV",2020-03-22,2421,1252,92,120,283,NA
"RI",2020-03-22,747,166,22,22,18,NA
"AN",2020-03-23,2471,1132,102,87,66,NA
"AR",2020-03-23,758,384,66,37,3,NA
"AS",2020-03-23,662,224,23,22,30,NA
"IB",2020-03-23,478,127,35,10,19,NA
"CN",2020-03-23,557,207,36,16,8,NA
"CB",2020-03-23,425,200,16,9,12,NA
"CM",2020-03-23,2465,1826,182,216,53,NA
"CL",2020-03-23,2460,1057,137,124,140,NA
"CT",2020-03-23,7864,3599,551,282,728,NA
"CE",2020-03-23,6,0,0,0,0,NA
"VC",2020-03-23,2167,917,161,115,37,NA
"EX",2020-03-23,636,161,20,26,8,NA
"GA",2020-03-23,1415,338,55,20,19,NA
"MD",2020-03-23,12352,10443,1050,1535,2291,NA
"ME",2020-03-23,28,12,1,0,0,NA
"MC",2020-03-23,385,99,26,3,1,NA
"NC",2020-03-23,1014,405,45,31,11,NA
"PV",2020-03-23,2728,1425,106,133,344,NA
"RI",2020-03-23,802,206,24,30,24,NA
"AN",2020-03-24,3010,1433,116,113,71,NA
"AR",2020-03-24,907,459,75,40,4,NA
"AS",2020-03-24,779,263,29,25,35,NA
"IB",2020-03-24,562,164,40,13,28,NA
"CN",2020-03-24,657,235,43,21,15,NA
"CB",2020-03-24,510,241,18,14,12,NA
"CM",2020-03-24,2780,2162,210,263,71,NA
"CL",2020-03-24,2940,1244,170,165,213,NA
"CT",2020-03-24,9937,5434,781,516,1274,NA
"CE",2020-03-24,9,2,1,0,0,NA
"VC",2020-03-24,2616,1071,198,143,44,NA
"EX",2020-03-24,742,209,28,39,8,NA
"GA",2020-03-24,1653,412,69,27,25,NA
"MD",2020-03-24,14597,11153,1150,1825,3031,NA
"ME",2020-03-24,38,14,2,0,0,NA
"MC",2020-03-24,477,127,33,5,4,NA
"NC",2020-03-24,1197,506,51,33,23,NA
"PV",2020-03-24,3271,1577,119,155,466,NA
"RI",2020-03-24,928,254,33,37,43,NA
"AN",2020-03-25,3406,1626,134,134,77,NA
"AR",2020-03-25,1116,562,93,48,4,NA
"AS",2020-03-25,841,300,34,27,40,NA
"IB",2020-03-25,660,205,43,17,39,NA
"CN",2020-03-25,784,279,45,24,18,NA
"CB",2020-03-25,671,300,26,17,14,NA
"CM",2020-03-25,3383,2162,243,316,95,NA
"CL",2020-03-25,3488,1515,202,206,308,NA
"CT",2020-03-25,11592,7439,1021,672,1697,NA
"CE",2020-03-25,10,2,2,0,0,NA
"VC",2020-03-25,3200,1278,230,167,57,NA
"EX",2020-03-25,969,241,34,58,24,NA
"GA",2020-03-25,1915,503,86,32,47,NA
"MD",2020-03-25,17166,12440,1221,2090,3882,NA
"ME",2020-03-25,39,16,2,1,0,NA
"MC",2020-03-25,596,172,36,8,9,NA
"NC",2020-03-25,1411,649,54,49,35,NA
"PV",2020-03-25,3946,1907,137,180,621,NA
"RI",2020-03-25,995,316,36,43,48,NA
"AN",2020-03-26,3793,1843,148,144,92,NA
"AR",2020-03-26,1338,693,114,58,8,NA
"AS",2020-03-26,900,339,47,29,52,NA
"IB",2020-03-26,755,237,46,22,67,NA
"CN",2020-03-26,878,328,61,27,20,NA
"CB",2020-03-26,810,355,29,21,19,NA
"CM",2020-03-26,3934,2707,273,367,153,NA
"CL",2020-03-26,4132,1791,228,252,423,NA
"CT",2020-03-26,12940,8545,1187,880,2348,NA
"CE",2020-03-26,17,2,2,0,0,NA
"VC",2020-03-26,3532,1422,252,198,73,NA
"EX",2020-03-26,1231,277,41,69,33,NA
"GA",2020-03-26,2322,557,98,43,67,NA
"MD",2020-03-26,19243,13580,1312,2412,5044,NA
"ME",2020-03-26,42,18,2,1,0,NA
"MC",2020-03-26,714,209,53,15,12,NA
"NC",2020-03-26,1641,732,75,58,70,NA
"PV",2020-03-26,4601,2270,154,207,814,NA
"RI",2020-03-26,1236,388,43,55,62,NA
"AN",2020-03-27,4277,2106,172,175,139,NA
"AR",2020-03-27,1592,835,124,93,8,NA
"AS",2020-03-27,1004,408,50,33,65,NA
"IB",2020-03-27,862,283,59,26,80,NA
"CN",2020-03-27,1025,377,68,36,25,NA
"CB",2020-03-27,937,406,37,22,21,NA
"CM",2020-03-27,4512,2977,289,448,197,NA
"CL",2020-03-27,4791,2063,249,321,585,NA
"CT",2020-03-27,14263,9900,1324,1070,3106,NA
"CE",2020-03-27,17,2,2,1,0,NA
"VC",2020-03-27,4034,1694,282,234,92,NA
"EX",2020-03-27,1394,312,40,88,49,NA
"GA",2020-03-27,2772,906,112,47,95,NA
"MD",2020-03-27,21520,14211,1404,2757,6326,NA
"ME",2020-03-27,45,22,2,1,0,NA
"MC",2020-03-27,802,231,58,17,12,NA
"NC",2020-03-27,1829,827,84,70,98,NA
"PV",2020-03-27,5136,2612,176,241,1023,NA
"RI",2020-03-27,1436,458,43,65,364,NA
"AN",2020-03-28,4682,2294,201,207,148,NA
"AR",2020-03-28,1858,835,124,104,8,NA
"AS",2020-03-28,1088,466,57,41,76,NA
"IB",2020-03-28,958,345,71,29,82,NA
"CN",2020-03-28,1125,425,78,39,30,NA
"CB",2020-03-28,1023,449,40,26,24,NA
"CM",2020-03-28,5246,3018,299,539,236,NA
"CL",2020-03-28,5414,2408,278,380,752,NA
"CT",2020-03-28,15026,10688,1391,1226,3455,NA
"CE",2020-03-28,21,2,2,1,0,NA
"VC",2020-03-28,4784,1874,309,267,161,NA
"EX",2020-03-28,1456,313,41,100,51,NA
"GA",2020-03-28,3139,1043,123,60,153,NA
"MD",2020-03-28,22677,14454,1429,3082,7491,NA
"ME",2020-03-28,48,24,2,1,0,NA
"MC",2020-03-28,872,260,58,20,16,NA
"NC",2020-03-28,2011,896,90,84,125,NA
"PV",2020-03-28,5740,3106,271,265,1503,NA
"RI",2020-03-28,1629,497,43,68,397,NA
"AN",2020-03-29,5405,2671,216,236,155,NA
"AR",2020-03-29,2078,1094,156,106,174,NA
"AS",2020-03-29,1158,479,60,49,78,NA
"IB",2020-03-29,1000,353,80,37,100,NA
"CN",2020-03-29,1204,444,84,40,32,NA
"CB",2020-03-29,1100,481,46,27,24,NA
"CM",2020-03-29,5858,3134,302,622,252,NA
"CL",2020-03-29,5801,2540,307,442,871,NA
"CT",2020-03-29,16157,11769,1512,1410,4125,NA
"CE",2020-03-29,25,2,2,1,0,NA
"VC",2020-03-29,5110,2042,336,310,185,NA
"EX",2020-03-29,1560,353,43,106,60,NA
"GA",2020-03-29,3723,1147,134,66,168,NA
"MD",2020-03-29,24090,14917,1460,3392,8301,NA
"ME",2020-03-29,51,27,3,1,0,NA
"MC",2020-03-29,939,265,58,25,17,NA
"NC",2020-03-29,2146,955,96,102,161,NA
"PV",2020-03-29,6057,3427,293,297,1646,NA
"RI",2020-03-29,1733,517,43,71,431,NA
"AN",2020-03-30,5818,2867,235,248,160,NA
"AR",2020-03-30,2272,1176,165,138,204,NA
"AS",2020-03-30,1236,529,65,55,90,NA
"IB",2020-03-30,1069,399,85,42,111,NA
"CN",2020-03-30,1262,483,94,55,57,NA
"CB",2020-03-30,1171,522,50,37,35,NA
"CM",2020-03-30,6424,3225,344,708,296,NA
"CL",2020-03-30,6211,2601,325,516,1028,NA
"CT",2020-03-30,18773,12974,1652,1672,4966,NA
"CE",2020-03-30,34,3,3,1,0,NA
"VC",2020-03-30,5508,2189,356,339,200,NA
"EX",2020-03-30,1628,371,51,133,91,NA
"GA",2020-03-30,4039,1250,149,84,187,NA
"MD",2020-03-30,27509,15140,1514,3603,9330,NA
"ME",2020-03-30,54,27,3,1,0,NA
"MC",2020-03-30,974,283,59,34,20,NA
"NC",2020-03-30,2305,1035,99,113,192,NA
"PV",2020-03-30,6320,3594,307,325,1796,NA
"RI",2020-03-30,1810,575,51,85,496,NA
"AN",2020-03-31,6392,3147,260,308,182,NA
"AR",2020-03-31,2491,1234,168,169,257,NA
"AS",2020-03-31,1322,590,76,63,109,NA
"IB",2020-03-31,1131,468,95,46,170,NA
"CN",2020-03-31,1380,532,110,62,77,NA
"CB",2020-03-31,1213,543,54,54,43,NA
"CM",2020-03-31,7047,3230,353,774,397,NA
"CL",2020-03-31,6847,2692,345,585,1259,NA
"CT",2020-03-31,19991,13969,1769,1849,5701,NA
"CE",2020-03-31,51,6,3,1,0,NA
"VC",2020-03-31,5922,2189,365,395,240,NA
"EX",2020-03-31,1679,372,58,152,113,NA
"GA",2020-03-31,4432,1338,158,103,259,NA
"MD",2020-03-31,29840,15227,1514,3865,10827,NA
"ME",2020-03-31,62,32,3,1,0,NA
"MC",2020-03-31,1041,304,59,37,43,NA
"NC",2020-03-31,2497,1120,104,130,236,NA
"PV",2020-03-31,6838,3806,324,369,2165,NA
"RI",2020-03-31,1960,619,54,90,569,NA
"AN",2020-04-01,6972,3444,280,343,228,NA
"AR",2020-04-01,2700,1320,178,200,320,NA
"AS",2020-04-01,1384,640,79,69,135,NA
"IB",2020-04-01,1204,517,105,58,239,NA
"CN",2020-04-01,1444,566,113,68,94,NA
"CB",2020-04-01,1268,567,57,60,60,NA
"CM",2020-04-01,7682,3230,355,854,494,NA
"CL",2020-04-01,7355,2709,353,641,1498,NA
"CT",2020-04-01,21804,15489,1855,2093,6917,NA
"CE",2020-04-01,55,7,3,1,0,NA
"VC",2020-04-01,6308,2189,379,443,432,NA
"EX",2020-04-01,1837,412,62,181,139,NA
"GA",2020-04-01,4842,1447,165,120,333,NA
"MD",2020-04-01,32155,15227,1528,4175,12400,NA
"ME",2020-04-01,62,32,3,1,0,NA
"MC",2020-04-01,1084,389,68,42,45,NA
"NC",2020-04-01,2682,1181,108,141,278,NA
"PV",2020-04-01,7317,4087,344,412,2490,NA
"RI",2020-04-01,2083,660,57,101,641,NA
"AN",2020-04-02,7374,3673,338,376,258,NA
"AR",2020-04-02,2889,1431,180,224,378,NA
"AS",2020-04-02,1433,702,86,70,154,NA
"IB",2020-04-02,1257,587,112,69,375,NA
"CN",2020-04-02,1490,605,120,73,102,NA
"CB",2020-04-02,1321,592,59,64,74,NA
"CM",2020-04-02,8523,3168,355,916,579,NA
"CL",2020-04-02,7875,2711,355,723,1759,NA
"CT",2020-04-02,23460,17257,2053,2335,7849,NA
"CE",2020-04-02,62,8,3,1,2,NA
"VC",2020-04-02,6624,2064,386,511,592,NA
"EX",2020-04-02,1893,415,64,200,164,NA
"GA",2020-04-02,5219,1630,178,138,435,NA
"MD",2020-04-02,34188,15050,1506,4483,13850,NA
"ME",2020-04-02,70,34,3,2,4,NA
"MC",2020-04-02,1145,405,72,46,90,NA
"NC",2020-04-02,2836,1284,119,151,294,NA
"PV",2020-04-02,7827,4283,363,444,2809,NA
"RI",2020-04-02,2224,738,64,109,745,NA
"AN",2020-04-03,7869,3896,364,426,463,NA
"AR",2020-04-03,3078,1505,190,251,440,NA
"AS",2020-04-03,1522,766,87,76,190,NA
"IB",2020-04-03,1271,634,114,71,422,NA
"CN",2020-04-03,1564,632,128,78,123,NA
"CB",2020-04-03,1384,619,60,68,99,NA
"CM",2020-04-03,9324,3133,360,989,657,NA
"CL",2020-04-03,8332,2664,348,786,2021,NA
"CT",2020-04-03,24734,17678,2108,2508,8635,NA
"CE",2020-04-03,73,8,4,1,2,NA
"VC",2020-04-03,6901,1977,386,571,695,NA
"EX",2020-04-03,1979,453,64,208,205,NA
"GA",2020-04-03,5625,1767,178,159,531,NA
"MD",2020-04-03,36249,14741,1498,4723,15362,NA
"ME",2020-04-03,79,37,3,2,9,NA
"MC",2020-04-03,1188,434,79,51,113,NA
"NC",2020-04-03,2972,1341,120,171,311,NA
"PV",2020-04-03,8187,4522,377,477,3098,NA
"RI",2020-04-03,2405,805,64,128,843,NA
"AN",2020-04-04,8301,4107,474,470,665,NA
"AR",2020-04-04,3232,1588,233,270,537,NA
"AS",2020-04-04,1605,808,90,80,216,NA
"IB",2020-04-04,1293,664,120,75,461,NA
"CN",2020-04-04,1622,644,129,80,137,NA
"CB",2020-04-04,1441,639,62,68,113,NA
"CM",2020-04-04,10031,2950,357,1055,1149,NA
"CL",2020-04-04,8749,2574,351,847,2331,NA
"CT",2020-04-04,26032,18656,2249,2637,9528,NA
"CE",2020-04-04,83,9,4,2,2,NA
"VC",2020-04-04,7184,1901,381,613,812,NA
"EX",2020-04-04,2047,417,66,218,215,NA
"GA",2020-04-04,5944,1831,170,174,587,NA
"MD",2020-04-04,37584,14551,1499,4941,16543,NA
"ME",2020-04-04,83,38,3,2,11,NA
"MC",2020-04-04,1235,447,80,59,130,NA
"NC",2020-04-04,3073,1399,123,178,334,NA
"PV",2020-04-04,8628,4666,404,515,3405,NA
"RI",2020-04-04,2592,855,66,134,904,NA
"AN",2020-04-05,8581,4227,489,491,798,NA
"AR",2020-04-05,3347,1637,237,284,565,NA
"AS",2020-04-05,1646,846,90,86,222,NA
"IB",2020-04-05,1320,683,121,81,531,NA
"CN",2020-04-05,1649,651,133,85,157,NA
"CB",2020-04-05,1483,658,65,77,118,NA
"CM",2020-04-05,10602,2901,354,1132,1259,NA
"CL",2020-04-05,9116,2508,348,919,2533,NA
"CT",2020-04-05,26824,19143,2276,2760,10088,NA
"CE",2020-04-05,83,9,4,3,2,NA
"VC",2020-04-05,7334,1909,384,637,930,NA
"EX",2020-04-05,2068,453,66,228,223,NA
"GA",2020-04-05,6151,1916,170,190,610,NA
"MD",2020-04-05,38723,14501,1510,5136,17322,NA
"ME",2020-04-05,86,38,3,2,11,NA
"MC",2020-04-05,1259,468,81,68,156,NA
"NC",2020-04-05,3231,1432,124,187,380,NA
"PV",2020-04-05,8810,4794,410,548,3568,NA
"RI",2020-04-05,2719,888,66,141,964,NA
"AN",2020-04-06,8767,4335,499,528,900,NA
"AR",2020-04-06,3449,1663,247,312,578,NA
"AS",2020-04-06,1679,889,91,96,244,NA
"IB",2020-04-06,1369,705,124,84,537,NA
"CN",2020-04-06,1725,689,137,89,186,NA
"CB",2020-04-06,1501,677,66,85,129,NA
"CM",2020-04-06,11077,2908,360,1177,1353,NA
"CL",2020-04-06,9581,5180,346,982,2711,NA
"CT",2020-04-06,28323,19745,2391,2908,10738,NA
"CE",2020-04-06,83,9,4,4,2,NA
"VC",2020-04-06,7443,1887,384,672,1103,NA
"EX",2020-04-06,2116,686,70,258,282,NA
"GA",2020-04-06,6331,1968,162,204,688,NA
"MD",2020-04-06,40469,13950,1494,5371,18410,NA
"ME",2020-04-06,92,40,3,2,11,NA
"MC",2020-04-06,1283,500,84,78,193,NA
"NC",2020-04-06,3355,1488,124,202,421,NA
"PV",2020-04-06,9021,4856,417,586,3728,NA
"RI",2020-04-06,2846,918,66,160,994,NA
